avg_rank,school,conf,avg_pts
1,Ohio State,Big Ten,27.287153987416364
2,Georgia,SEC,25.707773165002866
3,Michigan,Big Ten,23.298462583147796
4,Texas,Big 12,23.05074906141309
5,Washington,Pac-12,23.030741087134682
6,Alabama,SEC,22.557066853134724
7,USC,Pac-12,22.030514952935736
8,Oregon,Pac-12,21.809820327082107
9,Penn State,Big Ten,21.62395192443988
10,Oklahoma,Big 12,21.19164202196991
11,Notre Dame,Independent,19.56860147450912
12,Florida St.,ACC,18.882558653689223
13,LSU,SEC,18.31429466259053
14,Tennessee,SEC,17.255182807108326
15,Ole Miss,SEC,16.613449702724118
16,Texas A&M,SEC,15.938781368804626
17,Clemson,ACC,15.576124915099205
18,Utah,Pac-12,14.77778457545804
19,Miami-FL,ACC,14.328286060219904
20,Kansas St.,Big 12,13.910100314551718
21,Oregon St.,Pac-12,13.717737863919597
22,UCLA,Pac-12,13.624205804955828
23,North Carolina,ACC,13.392095842297316
24,Duke,ACC,12.469410957481662
25,Wisconsin,Big Ten,12.272609272402846
26,TCU,Big 12,11.470991423291599
27,Kentucky,SEC,10.855543755748384
28,Louisville,ACC,10.812400057296337
29,Syracuse,ACC,10.263899997222914
30,Maryland,Big Ten,10.191770525468483
31,Florida,SEC,10.053662730327263
32,UCF,Big 12,9.817882326075335
33,Wash. St.,Pac-12,9.22888995417207
34,Auburn,SEC,8.48852523440785
35,Missouri,SEC,8.226260030936418
36,Arkansas,SEC,7.507965240071033
37,Tulane,AAC,7.203938615065091
38,Texas Tech,Big 12,6.852447297009629
39,Iowa,Big Ten,6.650185250897618
40,South Carolina,SEC,6.3130524545977345
41,Fresno St.,MWC,5.241133752143629
42,Kansas,Big 12,5.09216674024435
43,Miss. St.,SEC,5.0155725979035415
44,SMU,AAC,4.395726707152474
45,Air Force,MWC,3.7813002638955964
46,Minnesota,Big Ten,3.711815170068815
47,Illinois,Big Ten,3.3392264911640996
48,Memphis,AAC,3.206219459080946
49,Cincinnati,Big 12,3.186752599250054
50,West Virginia,Big 12,2.8829853585965846
51,Cal,Pac-12,2.836330524810626
52,Pitt,ACC,2.3090396655187404
53,NC State,ACC,2.295455768101711
54,Iowa St.,Big 12,2.1787072012513886
55,BYU,Big 12,1.5196769175719982
56,Rutgers,Big Ten,1.486604288012374
57,Arizona,Pac-12,1.4425208579176143
58,Wake Forest,ACC,1.2974909504179941
59,Marshall,Sun Belt,0.4639579797321123
60,Boise St.,MWC,0.4553860255675756
61,Liberty,C-USA,0.4480209412308771
62,Nebraska,Big Ten,0.3228504274854525
63,Baylor,Big 12,0.23925967709593246
64,JMU,Sun Belt,0.2373264059721686
65,Oklahoma St.,Big 12,0.09215642206277923
66,Toledo,MAC,0.0872229232711123
67,Georgia Tech,ACC,-0.05831263078069593
68,Michigan St.,Big Ten,-0.20545822793389154
69,App State,Sun Belt,-0.21614529913239486
70,Georgia St.,Sun Belt,-0.8472543331829687
71,S. Alabama,Sun Belt,-0.8526195964904092
72,Purdue,Big Ten,-1.1400588924562232
73,Houston,Big 12,-1.2888431829050366
74,Coastal Carolina,Sun Belt,-1.561358319013076
75,Ga. Southern,Sun Belt,-1.9322715152020784
76,Troy,Sun Belt,-2.117928331371424
77,Ohio,MAC,-2.5204779417598733
78,UTSA,AAC,-2.5796463241611933
79,Louisiana,Sun Belt,-2.9983552456342983
80,Colorado,Pac-12,-3.5555899047286754
81,Western Kentucky,C-USA,-3.8958471343860097
82,Army,Independent,-4.298573129338714
83,Northwestern,Big Ten,-4.454786067058554
84,Indiana,Big Ten,-4.5167122121549275
85,Wyoming,MWC,-4.518466474943357
86,Virginia Tech,ACC,-4.812637718578789
87,Arizona St.,Pac-12,-6.457446107516613
88,Texas St.,Sun Belt,-6.962491951494112
89,Miami-OH,MAC,-6.965223588399971
90,San Diego St.,MWC,-6.988039800247992
91,Boston College,ACC,-7.429162677743929
92,Vanderbilt,SEC,-7.618744641333373
93,FAU,AAC,-7.967786071266159
94,Virginia,ACC,-8.00302764199609
95,San Jose St.,MWC,-8.099941536416884
96,East Carolina,AAC,-8.493963699109743
97,Navy,AAC,-8.836547513610313
98,Stanford,Pac-12,-8.850342502665686
99,UNLV,MWC,-8.972530787501325
100,USF,AAC,-9.185735195198822
101,Utah St.,MWC,-9.585368041175757
102,Jacksonville St.,C-USA,-9.609175794912924
103,UAB,AAC,-9.918529625488668
104,Rice,AAC,-10.664064590912487
105,Tulsa,AAC,-11.233554487935962
106,Central Michigan,MAC,-12.021967566900601
107,Buffalo,MAC,-12.07238690766327
108,Colorado St.,MWC,-12.236981038390525
109,North Texas,AAC,-12.326091608838368
110,Temple,AAC,-13.016544351111852
111,ODU,Sun Belt,-13.02872978150311
112,Middle Tennessee,C-USA,-13.129888309315968
113,Northern Illinois,MAC,-13.749717888612546
114,Southern Miss,Sun Belt,-14.024653771587117
115,New Mexico St.,C-USA,-14.255062600390035
116,La. Tech,C-USA,-14.769209638784217
117,Akron,MAC,-15.38087904758495
118,Sam Houston,C-USA,-15.544676702634206
119,Bowling Green,MAC,-15.545698437421814
120,Charlotte,AAC,-15.773600130767841
121,Eastern Michigan,MAC,-15.858717446685217
122,Ball St.,MAC,-16.428902548234483
123,UL-Monroe,Sun Belt,-16.594632817938034
124,Western Michigan,MAC,-16.795972816227998
125,UTEP,C-USA,-16.928020962082616
126,UConn,Independent,-16.963168640826993
127,Nevada,MWC,-17.681907478391512
128,Hawaii,MWC,-17.70281471236815
129,Arkansas St.,Sun Belt,-18.2126579878052
130,New Mexico,MWC,-19.080942520468287
131,UMass,Independent,-19.518604092795623
132,FIU,C-USA,-19.710138177704494
133,Kent St.,MAC,-20.149167861756712
