avg_rank,school,conf,avg_pts
1,Ohio State,Big Ten,25.5390371736101
2,Michigan,Big Ten,24.014067112413045
3,Oregon,Pac-12,23.0551920783571
4,Texas,Big 12,22.772741676705763
5,Georgia,SEC,22.290218265783565
6,Oklahoma,Big 12,22.036577717306756
7,Alabama,SEC,21.77140113350174
8,Washington,Pac-12,21.160779565232406
9,Penn State,Big Ten,20.88590678316535
10,Notre Dame,Independent,19.801965323441227
11,USC,Pac-12,19.643795846551416
12,Florida St.,ACC,17.691204943950808
13,Texas A&M,SEC,16.186900469180177
14,Tennessee,SEC,16.174234947072424
15,Clemson,ACC,15.93910098949111
16,Ole Miss,SEC,15.564425682329189
17,Miami-FL,ACC,15.267513784410006
18,LSU,SEC,15.042091025410619
19,Oregon St.,Pac-12,14.297878761363416
20,Kansas St.,Big 12,13.567059737857278
21,North Carolina,ACC,12.507791884439795
22,Duke,ACC,12.459289368561556
23,UCLA,Pac-12,12.444799860735428
24,Wisconsin,Big Ten,12.205156062672714
25,Kentucky,SEC,11.464692339156244
26,Maryland,Big Ten,11.38447095556478
27,Utah,Pac-12,11.129964238427222
28,Wash. St.,Pac-12,10.509205740486506
29,Louisville,ACC,9.978706091390398
30,TCU,Big 12,9.63402554982173
31,Syracuse,ACC,8.833206967034771
32,Missouri,SEC,8.297924892508615
33,UCF,Big 12,8.087164015128492
34,Auburn,SEC,7.560939342956618
35,Texas Tech,Big 12,7.175538700330564
36,Air Force,MWC,6.895436234519867
37,Florida,SEC,6.819568533936466
38,Fresno St.,MWC,6.344276740582697
39,Arkansas,SEC,5.8523700113529635
40,Tulane,AAC,5.824356188660417
41,South Carolina,SEC,5.1869474144295795
42,Iowa,Big Ten,4.795470996592519
43,SMU,AAC,4.4029379963043676
44,West Virginia,Big 12,3.916070229599498
45,Kansas,Big 12,3.1087900572279263
46,Rutgers,Big Ten,3.083483587864096
47,Miss. St.,SEC,2.7243594170556116
48,Minnesota,Big Ten,2.6912130385759983
49,NC State,ACC,2.608557616910099
50,Cincinnati,Big 12,2.1654634441462677
51,Memphis,AAC,1.8607434054652712
52,Cal,Pac-12,1.771673715133094
53,BYU,Big 12,1.6602129845292783
54,Liberty,C-USA,1.4348928359524624
55,Purdue,Big Ten,1.3948119445657403
56,Troy,Sun Belt,1.30283603261684
57,JMU,Sun Belt,1.0566459777748225
58,Arizona,Pac-12,0.9618352622286811
59,Marshall,Sun Belt,0.9180633657324271
60,Iowa St.,Big 12,0.7583073469219818
61,Wake Forest,ACC,0.37390481423088917
62,Boise St.,MWC,0.14635737140030283
63,Toledo,MAC,-0.0021207140744176436
64,Baylor,Big 12,-0.17224497882924752
65,Michigan St.,Big Ten,-0.21247659630889504
66,Illinois,Big Ten,-0.46228372557699027
67,Pitt,ACC,-0.49196595830801576
68,Oklahoma St.,Big 12,-0.5756870894630174
69,Ga. Southern,Sun Belt,-1.0442358975028503
70,S. Alabama,Sun Belt,-1.1333790413486031
71,Colorado,Pac-12,-1.263171598524873
72,Ohio,MAC,-1.4310277325542933
73,Nebraska,Big Ten,-1.7919663235755188
74,Virginia Tech,ACC,-1.8082912096697983
75,UTSA,AAC,-1.9296612608755022
76,Houston,Big 12,-2.076618519792858
77,Western Kentucky,C-USA,-2.0917969064932995
78,Georgia Tech,ACC,-2.1008234215733843
79,App State,Sun Belt,-2.1203238813812337
80,Coastal Carolina,Sun Belt,-2.1426868550748495
81,Georgia St.,Sun Belt,-2.34945619188468
82,Louisiana,Sun Belt,-3.2686374843533907
83,Army,Independent,-3.3703949563608155
84,Wyoming,MWC,-3.7173495186304693
85,Texas St.,Sun Belt,-3.7793978345307075
86,Northwestern,Big Ten,-4.659215485212392
87,Miami-OH,MAC,-4.9870876158540085
88,Arizona St.,Pac-12,-5.215416633212218
89,USF,AAC,-5.36178311936175
90,Indiana,Big Ten,-5.999287088843187
91,UNLV,MWC,-6.4091262131082365
92,Virginia,ACC,-7.282242716385325
93,Boston College,ACC,-7.31923798337079
94,Vanderbilt,SEC,-7.574379772559009
95,San Jose St.,MWC,-7.817586634243809
96,Tulsa,AAC,-7.891744021803035
97,FAU,AAC,-8.16882231792066
98,Rice,AAC,-8.210808047519366
99,Utah St.,MWC,-8.748103323306003
100,San Diego St.,MWC,-9.02678300875501
101,East Carolina,AAC,-9.204418654170805
102,Jacksonville St.,C-USA,-9.500447817095411
103,UAB,AAC,-9.617133355434943
104,Colorado St.,MWC,-9.80042148046019
105,Stanford,Pac-12,-9.813976024277034
106,ODU,Sun Belt,-10.248064492096363
