avg_rank,school,conf,avg_pts
107,Bowling Green,MAC,-10.906811055104162
108,Central Michigan,MAC,-10.984976825289786
109,Buffalo,MAC,-11.139301991050033
110,Navy,AAC,-11.247003273693458
111,Northern Illinois,MAC,-11.45861182111061
112,North Texas,AAC,-12.076740609161574
113,UL-Monroe,Sun Belt,-12.173995041695193
114,La. Tech,C-USA,-12.769858369437792
115,Middle Tennessee,C-USA,-12.86572417890312
116,Southern Miss,Sun Belt,-13.452662008222044
117,New Mexico St.,C-USA,-13.62308963190781
118,Arkansas St.,Sun Belt,-14.110231076292983
119,Akron,MAC,-14.136984331635139
120,Western Michigan,MAC,-14.547401604796429
121,Temple,AAC,-14.86353664039173
122,Charlotte,AAC,-15.050440034662387
123,Eastern Michigan,MAC,-15.171636721765921
124,UConn,Independent,-16.052124706729067
125,Nevada,MWC,-16.10584915061757
126,Sam Houston,C-USA,-16.11458839724762
127,New Mexico,MWC,-16.4669551137537
128,Ball St.,MAC,-16.83905816601992
129,FIU,C-USA,-17.685428501786095
130,UTEP,C-USA,-18.0236526960074
131,Hawaii,MWC,-18.095936113174172
132,UMass,Independent,-20.099342952289092
133,Kent St.,MAC,-21.063864409570204
