avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,29.206729693182197
2,Ohio State,Big Ten,26.20483387960549
3,Georgia,SEC,22.804699777851603
4,Oregon,Pac-12,22.289035717285614
5,Florida St.,ACC,22.166724323266816
6,Penn State,Big Ten,21.722341414272684
7,LSU,SEC,21.27030073799712
8,Oklahoma,Big 12,21.14480880112164
9,Alabama,SEC,21.045738219060148
10,Texas,Big 12,20.371535269411957
11,Washington,Pac-12,19.79973376663497
12,Notre Dame,Independent,19.35159156161306
13,Kansas St.,Big 12,16.533345210995787
14,USC,Pac-12,16.022121779085985
15,Ole Miss,SEC,16.003770738599055
16,Texas A&M,SEC,15.429129373082361
17,Tennessee,SEC,15.203480294377673
18,Oregon St.,Pac-12,14.663271362053976
19,Clemson,ACC,13.886500234466613
20,North Carolina,ACC,13.854705341733574
21,Duke,ACC,12.898640598582812
22,UCLA,Pac-12,12.810086438714164
23,Missouri,SEC,12.659049365328912
24,Utah,Pac-12,12.021136176697002
25,Miami-FL,ACC,11.914601537276136
26,Maryland,Big Ten,9.822343020731925
27,Louisville,ACC,9.532400514016205
28,Wisconsin,Big Ten,8.586036594507494
29,UCF,Big 12,7.771131237738674
30,Florida,SEC,7.358114700528714
31,TCU,Big 12,7.239998835953275
32,SMU,AAC,7.2108626566457215
33,Kentucky,SEC,7.2022254028720605
34,Arizona,Pac-12,6.995115893787436
35,S. Alabama,Sun Belt,6.833437347038376
36,JMU,Sun Belt,6.235500248404262
37,Texas Tech,Big 12,6.228641205554672
38,Kansas,Big 12,6.125163840104624
39,Air Force,MWC,6.023981745323615
40,Tulane,AAC,5.979781633155235
41,Arkansas,SEC,5.805159294373064
42,Oklahoma St.,Big 12,5.607347667829071
43,Iowa,Big Ten,5.525232644676545
44,Troy,Sun Belt,5.084954439702187
45,Auburn,SEC,5.013659208045345
46,Iowa St.,Big 12,4.705884372719951
47,Wash. St.,Pac-12,4.303735762966654
48,Miss. St.,SEC,3.7322733130728953
49,Fresno St.,MWC,3.708143319836278
50,South Carolina,SEC,3.3872670422885127
51,Syracuse,ACC,2.8209485498773965
52,West Virginia,Big 12,2.740105391772103
53,Rutgers,Big Ten,2.732548697031854
54,Memphis,AAC,2.1484772013096114
55,NC State,ACC,2.1314107839638745
56,Liberty,C-USA,1.6069604908720103
57,Minnesota,Big Ten,1.4964896495491025
58,Pitt,ACC,0.8858911077653436
59,Nebraska,Big Ten,0.8276989411844927
60,Toledo,MAC,0.7797974978288312
61,BYU,Big 12,0.6582881334953422
62,Georgia St.,Sun Belt,0.53528560847000906
63,Illinois,Big Ten,0.3477963106627245
64,Cincinnati,Big 12,0.2058745271051696
65,Virginia Tech,ACC,0.12713338209801306
66,UTSA,AAC,0.0849273444355901
67,Cal,Pac-12,-0.10389761113968464
68,Houston,Big 12,-0.49352347018432396
69,Purdue,Big Ten,-1.02172459677231
70,Colorado,Pac-12,-1.1735087103823183
71,Boise St.,MWC,-1.88362187021811
72,Baylor,Big 12,-1.9106242739086035
73,Georgia Tech,ACC,-1.9465628225754503
74,Marshall,Sun Belt,-2.0308632691179236
75,Wake Forest,ACC,-2.044859708367825
76,Ohio,MAC,-2.4832744781304377
77,Western Kentucky,C-USA,-2.5110534370792537
78,Wyoming,MWC,-2.6459887917834837
79,Boston College,ACC,-2.9475236914461695
80,Michigan St.,Big Ten,-2.98061999930101
81,Miami-OH,MAC,-3.524524651072402
82,Coastal Carolina,Sun Belt,-3.6828524356459127
83,Virginia,ACC,-3.6944185643026586
84,Ga. Southern,Sun Belt,-4.015227645301497
85,Louisiana,Sun Belt,-4.109621147434876
86,Arizona St.,Pac-12,-4.216600613013882
87,San Jose St.,MWC,-4.528934499550142
88,Texas St.,Sun Belt,-4.692589579756613
89,App State,Sun Belt,-4.914842307977445
90,UNLV,MWC,-5.103076436258285
91,Northwestern,Big Ten,-5.630659423557373
92,Rice,AAC,-6.493838657718755
93,Northern Illinois,MAC,-6.698568700171211
94,Utah St.,MWC,-6.724910197645391
95,FAU,AAC,-7.501529723609724
96,Jacksonville St.,C-USA,-8.071413590093766
97,Vanderbilt,SEC,-8.182058098686461
98,New Mexico St.,C-USA,-8.90271982271817
99,Indiana,Big Ten,-9.13058515626035
100,North Texas,AAC,-9.185418964720812
101,ODU,Sun Belt,-9.359713140712488
102,Navy,AAC,-9.864817785041833
103,Bowling Green,MAC,-10.236108326385969
104,Stanford,Pac-12,-10.393449831004725
105,UAB,AAC,-10.45742193961221
106,Colorado St.,MWC,-10.855378015366206
107,Army,Independent,-10.889164781267686
108,Buffalo,MAC,-11.088896663550484
109,East Carolina,AAC,-11.422744314498223
110,San Diego St.,MWC,-11.693166928434605
