avg_rank,school,conf,avg_pts
111,USF,AAC,-11.756810645518792
112,Tulsa,AAC,-11.939808568373143
113,Middle Tennessee,C-USA,-11.956947993686157
114,La. Tech,C-USA,-12.115743905572511
115,Charlotte,AAC,-13.03912565935793
116,UConn,Independent,-13.600762815761748
117,Central Michigan,MAC,-14.382704464182828
118,Eastern Michigan,MAC,-14.440655446870247
119,Western Michigan,MAC,-14.442005347202228
120,New Mexico,MWC,-15.139079402155925
121,Sam Houston,C-USA,-15.362902260635645
122,UL-Monroe,Sun Belt,-15.67571349927826
123,Arkansas St.,Sun Belt,-16.460644268316614
124,Nevada,MWC,-16.86433193317156
125,Southern Miss,Sun Belt,-17.073981748872328
126,UTEP,C-USA,-17.121687216777257
127,Ball St.,MAC,-17.643843257731234
128,FIU,C-USA,-18.05176371455736
129,Hawaii,MWC,-18.771912982909154
130,Akron,MAC,-20.55871663236938
131,UMass,Independent,-20.651668805316028
132,Temple,AAC,-21.720845003147836
133,Kent St.,MAC,-23.678049594717354
