avg_rank,school,conf,avg_pts
1,Ohio State,Big Ten,29.512787245135872
2,Georgia,SEC,27.768056014978374
3,Michigan,Big Ten,23.983466727298417
4,USC,Pac-12,23.61147970092812
5,Alabama,SEC,22.86435647445984
6,Washington,Pac-12,22.590627029968577
7,Oklahoma,Big 12,21.79909730932033
8,Texas,Big 12,21.444680145753278
9,Penn State,Big Ten,20.79071038695757
10,LSU,SEC,20.707002181174403
11,Notre Dame,Independent,20.63723676212569
12,Florida St.,ACC,20.398439518747512
13,Oregon,Pac-12,19.791471293843486
14,Ole Miss,SEC,18.469381567512613
15,Tennessee,SEC,17.123712703025888
16,Clemson,ACC,17.06044093572029
17,Utah,Pac-12,16.544089130109125
18,Oregon St.,Pac-12,14.90076700617089
19,Texas A&M,SEC,14.172184804511447
20,UCLA,Pac-12,14.091476317424616
21,Kansas St.,Big 12,13.679438805594486
22,North Carolina,ACC,12.253010065690328
23,Miami-FL,ACC,12.088090366982067
24,UCF,Big 12,11.788827550615778
25,Auburn,SEC,11.7758611411935
26,Wisconsin,Big Ten,11.365081891772006
27,Florida,SEC,11.29804741468678
28,Duke,ACC,11.120773104555077
29,Kentucky,SEC,11.10364034734364
30,TCU,Big 12,10.5186812436339
31,Syracuse,ACC,10.465733690332673
32,Iowa,Big Ten,9.569634253889907
33,Louisville,ACC,8.95023416739537
34,Maryland,Big Ten,8.551455215230147
35,Arkansas,SEC,8.275031410177336
36,Texas Tech,Big 12,8.183508157296828
37,Missouri,SEC,7.54503525884616
38,Wash. St.,Pac-12,7.540982716420776
39,Miss. St.,SEC,7.297415824279387
40,Tulane,AAC,6.890555021415828
41,SMU,AAC,6.439972851234715
42,Minnesota,Big Ten,5.962418638364231
43,South Carolina,SEC,5.918327508608486
44,Memphis,AAC,4.699043775300472
45,Pitt,ACC,4.577291226629366
46,Cal,Pac-12,4.33381102238963
47,Illinois,Big Ten,4.207300978430459
48,Cincinnati,Big 12,4.180832077829138
49,Kansas,Big 12,4.021939560483297
50,Wake Forest,ACC,3.753891910144567
51,Baylor,Big 12,3.544075203793449
52,NC State,ACC,3.2688992436600066
53,BYU,Big 12,2.813817694838597
54,Iowa St.,Big 12,2.3291412703810184
55,Fresno St.,MWC,2.280517177715915
56,Michigan St.,Big Ten,2.1150814821970685
57,West Virginia,Big 12,2.0184963671193015
