avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,25.9129661274663
2,Ohio State,Big Ten,25.158797792890528
3,Georgia,SEC,24.83936739519777
4,Oregon,Pac-12,23.772161446374284
5,Oklahoma,Big 12,22.946942202965815
6,Texas,Big 12,22.286047849273043
7,Washington,Pac-12,21.339229812417006
8,Alabama,SEC,21.29248281020422
9,Penn State,Big Ten,20.981427084514298
10,Florida St.,ACC,18.781877895845913
11,USC,Pac-12,17.851974003864992
12,Notre Dame,Independent,17.577581930956224
13,Tennessee,SEC,16.315742719193626
14,North Carolina,ACC,15.639041160709736
15,Texas A&M,SEC,15.328326680351298
16,Ole Miss,SEC,15.2972645367041
17,LSU,SEC,15.202163782282613
18,Clemson,ACC,15.084554078806384
19,Oregon St.,Pac-12,14.058223755826498
20,UCLA,Pac-12,13.378120119720464
21,Miami-FL,ACC,12.998087967590266
22,Louisville,ACC,12.36363773312749
23,Wisconsin,Big Ten,12.05285915480898
24,Duke,ACC,11.655672435498458
25,Kansas St.,Big 12,11.442483924046291
26,Maryland,Big Ten,11.12684034718766
27,Utah,Pac-12,10.776309295067193
28,Texas Tech,Big 12,8.937828377513531
29,Wash. St.,Pac-12,8.890008675392174
30,Kentucky,SEC,8.246347197615389
31,Missouri,SEC,7.884198997954388
32,Auburn,SEC,7.7685838277156
33,Air Force,MWC,7.375338553673758
34,Florida,SEC,7.175559951743207
35,TCU,Big 12,7.141467814846585
36,Tulane,AAC,6.5394311276844475
37,South Carolina,SEC,5.786610276373256
38,Kansas,Big 12,5.764666917313388
39,Syracuse,ACC,5.6979457812707865
40,Iowa,Big Ten,5.249392331747807
41,UCF,Big 12,5.2370231616642995
42,Arkansas,SEC,5.231459416928877
43,Fresno St.,MWC,4.75623895586084
44,West Virginia,Big 12,4.18651443396911
45,SMU,AAC,4.155989349416095
46,Arizona,Pac-12,3.983180220016431
47,Troy,Sun Belt,3.2567729047912017
48,Iowa St.,Big 12,3.126057758596725
49,S. Alabama,Sun Belt,3.0666244476901316
50,NC State,ACC,3.0233007792235465
51,Cincinnati,Big 12,2.860855227522529
52,Rutgers,Big Ten,2.6538089230540325
53,Miss. St.,SEC,2.3773024569291823
54,JMU,Sun Belt,2.3294445596901734
