avg_rank,school,conf,avg_pts
55,BYU,Big 12,2.2778634273587604
56,Oklahoma St.,Big 12,2.1953453559239784
57,Memphis,AAC,1.104939370535149
58,Wake Forest,ACC,0.7999640688113713
59,Minnesota,Big Ten,0.624814339839035
60,Cal,Pac-12,0.5761082368123701
61,Purdue,Big Ten,0.5245180450214318
62,Toledo,MAC,0.20486759526361323
63,Georgia Tech,ACC,0.02988768621465343
64,Nebraska,Big Ten,-0.0942031040315654
65,Marshall,Sun Belt,-0.19878096002576437
66,Liberty,C-USA,-0.23958880480372682
67,Pitt,ACC,-0.24829468206790836
68,Michigan St.,Big Ten,-0.332846443083614
69,Boise St.,MWC,-0.37146426265515115
70,Ohio,MAC,-0.4595886633348103
71,Ga. Southern,Sun Belt,-0.6222895471673271
72,Colorado,Pac-12,-1.3586909542102028
73,Illinois,Big Ten,-1.4417718923824558
74,Coastal Carolina,Sun Belt,-1.9061110623145627
75,Wyoming,MWC,-2.081707315314942
76,Georgia St.,Sun Belt,-2.0927812018741148
77,Houston,Big 12,-2.158886960724105
78,UTSA,AAC,-2.1749067209966557
79,Virginia Tech,ACC,-2.3740280763760073
80,Western Kentucky,C-USA,-2.4336117259167835
81,App State,Sun Belt,-2.5901249052197897
82,Louisiana,Sun Belt,-2.62094206200082
83,Baylor,Big 12,-2.6795633681050446
84,Miami-OH,MAC,-2.7606253115053803
85,Texas St.,Sun Belt,-4.063947634175024
86,Boston College,ACC,-5.287659281831573
87,Army,Independent,-5.616524568437548
88,Arizona St.,Pac-12,-5.6913974956666
89,Utah St.,MWC,-5.723198777952834
90,Northwestern,Big Ten,-5.884617402346833
91,UNLV,MWC,-6.281925692021242
92,UAB,AAC,-6.353970260874971
93,Virginia,ACC,-6.397890453030786
94,Indiana,Big Ten,-6.4674986717017084
95,Northern Illinois,MAC,-7.227616390589081
96,Tulsa,AAC,-7.602509942465005
97,San Jose St.,MWC,-7.7496207369865
98,FAU,AAC,-8.100179871433083
99,USF,AAC,-8.215920672584371
100,Jacksonville St.,C-USA,-8.492377219050553
101,Vanderbilt,SEC,-8.807197352587862
102,San Diego St.,MWC,-8.912518204637392
103,East Carolina,AAC,-9.515796010770535
104,ODU,Sun Belt,-9.542418972841034
105,Rice,AAC,-9.757921685603423
106,Stanford,Pac-12,-9.961581984333547
107,Buffalo,MAC,-10.310743941554046
108,Navy,AAC,-11.964961828752477
109,Colorado St.,MWC,-12.247051827427105
110,North Texas,AAC,-12.457652226297183
111,New Mexico St.,C-USA,-12.755751835750479
112,Bowling Green,MAC,-12.835299958296721
113,La. Tech,C-USA,-12.844493731971598
114,Central Michigan,MAC,-13.04122431837483
115,Middle Tennessee,C-USA,-13.91730075137629
116,Southern Miss,Sun Belt,-14.444501038676405
117,Western Michigan,MAC,-14.591026619158127
118,UConn,Independent,-14.631248249693073
119,Eastern Michigan,MAC,-14.752897404957324
120,Sam Houston,C-USA,-14.954952550722867
121,Charlotte,AAC,-15.122010685486659
122,New Mexico,MWC,-16.188922307004994
123,Arkansas St.,Sun Belt,-16.210616445755438
124,Nevada,MWC,-16.437152707784694
125,Temple,AAC,-16.484553446822595
126,UL-Monroe,Sun Belt,-16.97234431481553
127,UTEP,C-USA,-17.74424134227024
128,Hawaii,MWC,-17.898650029250934
129,Ball St.,MAC,-18.508657355721617
130,Akron,MAC,-18.775925951699687
131,FIU,C-USA,-19.33326005483184
132,UMass,Independent,-19.573099055481865
133,Kent St.,MAC,-22.123473975568842
