avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,28.800436064231416
2,Oregon,Pac-12,28.676388943177223
3,Georgia,SEC,27.333487821170912
4,Ohio State,Big Ten,27.127462146664474
5,Penn State,Big Ten,23.82558006034274
6,Alabama,SEC,22.005478304288545
7,Texas,Big 12,21.94389505509846
8,LSU,SEC,21.45249034491973
9,Notre Dame,Independent,20.84582488680591
10,Oklahoma,Big 12,20.74480081579095
11,Florida St.,ACC,20.363404820041247
12,Washington,Pac-12,17.900913975140547
13,Missouri,SEC,16.182257359479966
14,Kansas St.,Big 12,15.82143731920494
15,Ole Miss,SEC,14.95074702264522
16,Oregon St.,Pac-12,14.610844560563068
17,Texas A&M,SEC,14.361821061541379
18,Clemson,ACC,12.803909395388793
19,Tennessee,SEC,12.704781183947114
20,Arizona,Pac-12,12.4456894621646
21,Louisville,ACC,12.38442038703721
22,USC,Pac-12,12.276206193188223
23,Miami-FL,ACC,10.719900633247768
24,SMU,AAC,10.698183514598107
25,North Carolina,ACC,10.622430501435126
26,Kansas,Big 12,9.89748410865473
27,JMU,Sun Belt,8.789808416459529
28,Utah,Pac-12,8.751350713987893
29,Maryland,Big Ten,8.701490251847146
30,UCF,Big 12,8.400931063032091
31,Liberty,C-USA,8.230621128985788
32,NC State,ACC,8.107952350521144
33,Auburn,SEC,8.083795476173774
34,Iowa St.,Big 12,7.934651595039765
35,Kentucky,SEC,7.661234288943869
36,UCLA,Pac-12,7.606056556605289
37,Troy,Sun Belt,7.587028049741555
38,Duke,ACC,7.117089957483116
39,TCU,Big 12,6.951359938287461
40,Wisconsin,Big Ten,5.966709733324629
41,Oklahoma St.,Big 12,5.6885074007323535
42,West Virginia,Big 12,5.5312548662317615
43,Iowa,Big Ten,5.007416094584447
44,Texas Tech,Big 12,4.957974240056087
45,South Carolina,SEC,4.926319743973323
46,Florida,SEC,4.675332340441036
47,Tulane,AAC,4.192025462113263
48,Virginia Tech,ACC,4.1281003909936045
49,Toledo,MAC,4.084932243262964
50,Wash. St.,Pac-12,3.927286221928541
51,Boise St.,MWC,3.840421308912276
52,S. Alabama,Sun Belt,3.099206289026218
53,Cal,Pac-12,2.4595214391665134
54,UTSA,AAC,2.0591574943923647
55,Georgia Tech,ACC,1.561591659870275
56,App State,Sun Belt,1.5450570794445464
57,Arkansas,SEC,1.3693622363739935
58,Memphis,AAC,1.339049461316245
59,Rutgers,Big Ten,0.7658934397943433
60,Nebraska,Big Ten,0.4748766007647242
61,San Jose St.,MWC,0.2757365838719638
62,UNLV,MWC,0.12555835980721547
63,Illinois,Big Ten,-0.025726608257468017
64,Miss. St.,SEC,-0.26996496092936045
65,Northwestern,Big Ten,-0.6972777082622834
66,Air Force,MWC,-0.7974684775853853
67,Syracuse,ACC,-1.057944649301681
68,Miami-OH,MAC,-1.8310506348008433
69,Jacksonville St.,C-USA,-2.117798882228679
70,New Mexico St.,C-USA,-2.24924964864927
71,Purdue,Big Ten,-2.6878076952029093
72,Minnesota,Big Ten,-2.7418873747823227
73,Western Kentucky,C-USA,-2.8628640098240616
74,Wyoming,MWC,-2.907370580364239
75,Ohio,MAC,-2.98363710484889
76,Pitt,ACC,-3.0113561704773586
77,BYU,Big 12,-3.036730059766121
78,Fresno St.,MWC,-3.2030280727905227
79,Colorado,Pac-12,-3.349258431511273
80,Coastal Carolina,Sun Belt,-4.549465118889512
81,Cincinnati,Big 12,-4.698067304235239
82,Louisiana,Sun Belt,-4.948791460396176
83,Houston,Big 12,-5.049843917245145
84,Wake Forest,ACC,-5.196497032653901
85,Marshall,Sun Belt,-5.540125326299703
86,Bowling Green,MAC,-5.570946469407467
87,Texas St.,Sun Belt,-5.778073427079154
88,Indiana,Big Ten,-5.92197802751298
89,Boston College,ACC,-5.952443725026869
90,Virginia,ACC,-6.20077575192912
91,Baylor,Big 12,-6.445829278892297
92,Rice,AAC,-6.915865337933054
93,Michigan St.,Big Ten,-6.9409195172279095
94,Ga. Southern,Sun Belt,-6.970736953514351
95,Northern Illinois,MAC,-7.1962666050119
96,Arizona St.,Pac-12,-7.917614605392385
97,Middle Tennessee,C-USA,-8.270787467538959
98,Georgia St.,Sun Belt,-8.396298981259235
99,Utah St.,MWC,-8.627344241774201
100,FAU,AAC,-8.768292013629802
101,Army,Independent,-8.790203861124244
102,North Texas,AAC,-9.392097620990606
103,ODU,Sun Belt,-9.404868950809881
104,Arkansas St.,Sun Belt,-9.452599525944454
105,Stanford,Pac-12,-10.132261336809355
106,Colorado St.,MWC,-10.181514247901132
107,USF,AAC,-10.570777097351947
108,San Diego St.,MWC,-10.958993049766178
109,Vanderbilt,SEC,-11.281089443435366
110,East Carolina,AAC,-11.590861526928013
111,UAB,AAC,-12.28877293560364
112,Sam Houston,C-USA,-12.730647851630755
113,Ball St.,MAC,-12.924028831878623
114,Buffalo,MAC,-13.130642500857075
115,Southern Miss,Sun Belt,-13.610395686078501
116,Navy,AAC,-13.81138594950901
117,UTEP,C-USA,-14.126704614424014
118,La. Tech,C-USA,-14.16531453293398
119,Western Michigan,MAC,-14.500222602058685
120,Eastern Michigan,MAC,-14.533886405795132
121,Tulsa,AAC,-15.087748384766021
