avg_rank,school,conf,avg_pts
1,Georgia,SEC,29.36483209768176
2,Ohio State,Big Ten,27.655500458078563
3,Michigan,Big Ten,25.5303097276398
4,Alabama,SEC,25.3524403017655
5,Florida St.,ACC,23.507876028148626
6,USC,Pac-12,23.397210408454367
7,Texas,Big 12,22.501703729626566
8,Penn State,Big Ten,22.125616353969235
9,Notre Dame,Independent,20.70007186564776
10,Washington,Pac-12,19.99255821617662
11,Oklahoma,Big 12,19.51873272895934
12,Tennessee,SEC,19.357848007870427
13,LSU,SEC,19.086528738258988
14,Ole Miss,SEC,17.889963097942964
15,Oregon,Pac-12,17.849215771052293
16,Utah,Pac-12,15.976509036893725
17,Kansas St.,Big 12,15.672443572601942
18,Clemson,ACC,15.572465867035639
19,Oregon St.,Pac-12,15.001101023377098
20,UCLA,Pac-12,12.573040747413268
21,Texas A&M,SEC,12.269968674093114
22,Miami-FL,ACC,12.069133173942385
23,UCF,Big 12,11.727159395066826
24,Auburn,SEC,11.694395008768057
25,Wisconsin,Big Ten,11.07627713918887
26,Miss. St.,SEC,10.855714089267096
27,Syracuse,ACC,10.213448654065283
28,Kentucky,SEC,10.153305210790714
29,Florida,SEC,9.92920693435721
30,Duke,ACC,9.833938461195634
31,North Carolina,ACC,9.760906849504604
32,Arkansas,SEC,9.458213571202434
33,Iowa,Big Ten,9.421386894595486
34,TCU,Big 12,9.03850247824479
35,Louisville,ACC,8.859430158956117
36,Minnesota,Big Ten,7.799516636893852
37,Cincinnati,Big 12,7.78347143113712
38,Maryland,Big Ten,7.754080074884839
39,Texas Tech,Big 12,7.737392149344296
40,Tulane,AAC,7.456465049769597
41,Missouri,SEC,6.995882132372752
42,Wash. St.,Pac-12,6.718165712674857
43,Memphis,AAC,6.432349553116176
44,Pitt,ACC,6.391469989879492
45,Michigan St.,Big Ten,5.635156569536359
46,Oklahoma St.,Big 12,5.576079818851962
47,Kansas,Big 12,5.446915594910249
48,South Carolina,SEC,5.340695442249057
49,Wake Forest,ACC,4.922469636766816
50,SMU,AAC,4.835017593148598
51,Illinois,Big Ten,4.719232834324183
52,Cal,Pac-12,4.279791663961236
53,Baylor,Big 12,3.9961056656355036
54,NC State,ACC,3.4450093601358396
55,Iowa St.,Big 12,3.1478856223553824
56,UTSA,AAC,2.912496799681843
57,Purdue,Big Ten,2.1069894612951026
58,West Virginia,Big 12,1.5330119859900078
59,Arizona,Pac-12,1.1903604172080582
60,BYU,Big 12,1.1244378553034962
61,Rutgers,Big Ten,0.45302656023474164
62,Toledo,MAC,0.35515666892625203
63,Houston,Big 12,0.33953122610991127
64,Marshall,Sun Belt,0.11944355926555279
65,Boise St.,MWC,-0.05880333512404956
66,Western Kentucky,C-USA,-0.2178753811265868
67,Air Force,MWC,-0.4706995505012777
68,Fresno St.,MWC,-0.7762620022280009
