avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,28.871078852585086
2,Oregon,Pac-12,27.80792852402711
3,Georgia,SEC,27.749796041551047
4,Ohio State,Big Ten,27.48811937673738
5,Penn State,Big Ten,22.82286220141606
6,Alabama,SEC,22.429824230754225
7,LSU,SEC,20.657772841051482
8,Notre Dame,Independent,20.58858636535398
9,Florida St.,ACC,20.337682457585174
10,Texas,Big 12,20.18672514348598
11,Oklahoma,Big 12,20.053958070601613
12,Washington,Pac-12,19.01789144282118
13,Kansas St.,Big 12,18.05712048481961
14,Oregon St.,Pac-12,16.011758273962265
15,Ole Miss,SEC,15.243451860110262
16,Texas A&M,SEC,15.124254453398194
17,Missouri,SEC,14.666897262355324
18,Louisville,ACC,13.192821638619655
19,USC,Pac-12,12.509132148399239
20,Clemson,ACC,12.4147110898618
21,Tennessee,SEC,12.401037241670915
22,North Carolina,ACC,12.131635570175625
23,Arizona,Pac-12,11.155115974596704
24,SMU,AAC,10.580360432603843
25,Miami-FL,ACC,10.344990577229392
26,Utah,Pac-12,9.83605694419623
27,UCLA,Pac-12,9.747949753266738
28,UCF,Big 12,8.268355472967121
29,Kansas,Big 12,8.22883015652189
30,Liberty,C-USA,7.95110812985165
31,TCU,Big 12,7.617774805490571
32,Troy,Sun Belt,7.545652452877816
33,Maryland,Big Ten,7.526766440168225
34,Auburn,SEC,7.494466358626457
35,Duke,ACC,7.334036257806869
36,Texas Tech,Big 12,6.907719483319381
37,Kentucky,SEC,6.461260808027459
38,JMU,Sun Belt,6.342648987110116
39,Iowa St.,Big 12,6.220367773523204
40,NC State,ACC,6.1071308880990545
41,Oklahoma St.,Big 12,5.889903681354261
42,West Virginia,Big 12,5.641899456677918
43,Wisconsin,Big Ten,5.328141457467251
44,Iowa,Big Ten,5.074226022700356
45,South Carolina,SEC,4.945208227501665
46,Florida,SEC,4.655885748027181
47,S. Alabama,Sun Belt,4.150379244852535
48,Wash. St.,Pac-12,3.8063030176551176
49,Toledo,MAC,3.739030883381169
50,Tulane,AAC,3.472863932470802
51,Boise St.,MWC,3.425459308275319
52,UTSA,AAC,3.1044846401584536
53,Arkansas,SEC,2.810514622115571
54,Rutgers,Big Ten,1.8063876096534295
55,Virginia Tech,ACC,1.4113940519230068
56,Georgia Tech,ACC,1.2824847234236743
57,UNLV,MWC,1.1053077611474145
58,Memphis,AAC,0.7314019231081524
59,App State,Sun Belt,0.6886316680445113
60,Nebraska,Big Ten,0.5958164570484069
61,Cal,Pac-12,0.5220775204966183
62,San Jose St.,MWC,-0.4790517870284042
63,Northwestern,Big Ten,-0.5419511275646933
64,Illinois,Big Ten,-0.5483793118083571
65,Air Force,MWC,-0.5798122507464777
66,Miss. St.,SEC,-0.7627507422193005
67,Miami-OH,MAC,-0.7695382855349313
68,Fresno St.,MWC,-1.3070461483857811
69,Jacksonville St.,C-USA,-1.8311532687061947
70,Coastal Carolina,Sun Belt,-1.8654174141794133
71,Minnesota,Big Ten,-1.9919123585742362
72,Syracuse,ACC,-2.191553265769322
73,Colorado,Pac-12,-2.503651656584704
74,New Mexico St.,C-USA,-2.5234970806622634
75,Ohio,MAC,-2.8026208806651494
76,Purdue,Big Ten,-2.8512429820015446
77,Cincinnati,Big 12,-3.06720073536441
78,Pitt,ACC,-3.153364829642107
79,Western Kentucky,C-USA,-3.3564514272498998
80,BYU,Big 12,-3.457266788266994
81,Virginia,ACC,-4.010667216061432
