avg_rank,school,conf,avg_pts
1,Georgia,SEC,32.405628245776995
2,Ohio State,Big Ten,31.41875954642412
3,Alabama,SEC,29.46658774375851
4,Michigan,Big Ten,25.610942887716345
5,Tennessee,SEC,24.630017989658914
6,Texas,Big 12,20.666815640639292
7,Oregon,Pac-12,17.791614816594066
8,LSU,SEC,17.7609640477224
9,Penn State,Big Ten,17.75427460817545
10,Clemson,ACC,17.03861303528017
11,USC,Pac-12,15.944865681022474
12,TCU,Big 12,15.78391660347648
13,Kansas St.,Big 12,15.39246969118329
14,Ole Miss,SEC,15.33860331484247
15,Utah,Pac-12,15.230107743497266
16,UCLA,Pac-12,14.999023826671731
17,Florida St.,ACC,14.46396308608918
18,Baylor,Big 12,13.80648383958714
19,Miss. St.,SEC,13.40264225740061
20,Oklahoma,Big 12,11.664016498855187
21,Wisconsin,Big Ten,11.635917237715503
22,Notre Dame,Independent,11.504954042069262
23,Louisville,ACC,11.454525166552639
24,UCF,AAC,11.079235926065646
25,Illinois,Big Ten,11.008459252781266
26,Minnesota,Big Ten,10.965137583471076
27,Washington,Pac-12,9.517910481612724
28,Kentucky,SEC,9.393790480056197
29,Maryland,Big Ten,9.341283371075509
30,Wake Forest,ACC,8.936269706239447
31,Iowa St.,Big 12,8.739369384423416
32,Iowa,Big Ten,8.70820833401358
33,Cincinnati,AAC,8.68642043536316
34,Arkansas,SEC,8.452408876678696
35,Florida,SEC,8.435551629800946
36,North Carolina,ACC,8.237646987836865
37,Wash. St.,Pac-12,7.7797804132707284
38,Oregon St.,Pac-12,7.664224936450623
39,Tulane,AAC,7.592073057693803
40,NC State,ACC,7.260633045081977
41,Texas Tech,Big 12,7.094063783426047
42,Texas A&M,SEC,6.961615853846614
43,Oklahoma St.,Big 12,6.880262352386888
44,Kansas,Big 12,6.7549923062998065
45,Syracuse,ACC,6.577185533682834
46,Pitt,ACC,6.198257026130406
47,Purdue,Big Ten,5.062348805653192
48,Missouri,SEC,4.9823978522248
49,SMU,AAC,4.975501507403238
50,East Carolina,AAC,4.645947991185757
51,Michigan St.,Big Ten,4.4485416748016755
52,South Carolina,SEC,4.1759945631888264
53,Auburn,SEC,3.9133933230378366
54,Western Kentucky,C-USA,3.2283809795968095
55,Houston,AAC,3.1550108895599687
56,S. Alabama,Sun Belt,3.0632013203622632
57,App State,Sun Belt,2.83698357384762
58,Boise St.,MWC,2.797916070413947
59,UTSA,C-USA,2.6493618594421124
60,Memphis,AAC,2.385548920199731
61,Liberty,Independent,2.240079626279543
62,Air Force,MWC,2.086346288522683
63,Troy,Sun Belt,1.9419663540563517
64,Duke,ACC,1.6120777468974659
65,West Virginia,Big 12,1.2782905235338493
66,Coastal Carolina,Sun Belt,0.8453862682593434
67,BYU,Independent,0.7509892733241228
68,UAB,C-USA,0.6059978382385869
69,JMU,Sun Belt,0.6008720813440496
70,Toledo,MAC,0.48931460066728505
71,Fresno St.,MWC,-0.6804384123882616
72,Miami-FL,ACC,-1.0098966685241808
73,Marshall,Sun Belt,-1.0465677807747253
74,North Texas,C-USA,-1.1297205180465817
75,Nebraska,Big Ten,-1.9673063890150693
76,Virginia,ACC,-2.464600056579692
77,Cal,Pac-12,-2.6197422674426045
78,San Jose St.,MWC,-2.7382544028284728
79,Georgia St.,Sun Belt,-3.051825002292957
80,Arizona St.,Pac-12,-3.0611052564900967
81,Ga. Southern,Sun Belt,-4.314188921907993
82,Arizona,Pac-12,-4.462104236813394
83,Stanford,Pac-12,-4.86533663093897
84,Louisiana,Sun Belt,-4.874703952785355
85,Indiana,Big Ten,-4.975399873878689
86,Tulsa,AAC,-5.9456905661793495
87,Northwestern,Big Ten,-6.431244486074652
88,FAU,C-USA,-6.5253604441718975
89,Rutgers,Big Ten,-6.535522372970389
90,Georgia Tech,ACC,-6.55065521046244
91,Army,Independent,-7.349451596487034
92,Buffalo,MAC,-7.349489174663094
93,Virginia Tech,ACC,-7.726000519364431
94,ODU,Sun Belt,-7.984913838297979
95,Ohio,MAC,-8.142556555417338
96,San Diego St.,MWC,-8.345551609144628
97,Southern Miss,Sun Belt,-8.415559539022906
98,Navy,AAC,-9.360235820768395
99,Vanderbilt,SEC,-9.369643927049223
100,Boston College,ACC,-10.132571418900946
101,Wyoming,MWC,-10.46674538238713
102,Central Michigan,MAC,-10.482489301117472
103,Miami-OH,MAC,-10.626045133015307
104,Texas St.,Sun Belt,-10.983547170001597
105,Kent St.,MAC,-11.314620729936944
106,UNLV,MWC,-11.801361866379008
107,Middle Tennessee,C-USA,-11.956988049035488
108,Arkansas St.,Sun Belt,-12.795297520419457
109,Eastern Michigan,MAC,-12.966128247653163
110,Ball St.,MAC,-12.990734348328399
111,Rice,C-USA,-13.14756623496379
112,Northern Illinois,MAC,-13.304453483620549
113,Utah St.,MWC,-13.485412105549596
114,USF,AAC,-13.61783278362853
115,La. Tech,C-USA,-13.832535645615303
116,UL-Monroe,Sun Belt,-14.742340908310757
117,Temple,AAC,-14.936861293861018
118,Bowling Green,MAC,-15.225701357245981
119,Western Michigan,MAC,-15.310318993703769
120,UTEP,C-USA,-15.367880448332448
121,UConn,Independent,-16.76598167089976
122,Colorado,Pac-12,-17.99536129170385
123,Nevada,MWC,-18.69390286999817
124,Charlotte,C-USA,-19.99556831663381
125,Colorado St.,MWC,-21.217520789811253
126,Akron,MAC,-22.42350620077919
127,New Mexico,MWC,-22.684701013632207
128,New Mexico St.,Independent,-24.27922501632687
129,FIU,C-USA,-24.96489014776261
130,Hawaii,MWC,-25.844715164630834
131,UMass,Independent,-28.161303908180383
