avg_rank,school,conf,avg_pts
1,Georgia,SEC,32.7677371940732
2,Ohio State,Big Ten,32.30867650809409
3,Alabama,SEC,29.632246970629552
4,Michigan,Big Ten,26.136619670849452
5,Tennessee,SEC,24.915482370451652
6,Texas,Big 12,20.845783964103735
7,Penn State,Big Ten,17.81311660902562
8,LSU,SEC,17.697581176376428
9,Oregon,Pac-12,17.521273541094505
10,Clemson,ACC,16.691922113991286
11,USC,Pac-12,16.143795882258164
12,TCU,Big 12,15.84819169682985
13,Kansas St.,Big 12,15.804575856330487
14,Utah,Pac-12,15.467424290583827
15,Ole Miss,SEC,15.194507369889871
16,UCLA,Pac-12,14.467454589195995
17,Florida St.,ACC,13.860090684570551
18,Miss. St.,SEC,13.823426419898295
19,Baylor,Big 12,13.433301278090502
20,Wisconsin,Big Ten,11.58412578799581
21,Oklahoma,Big 12,11.567171850410551
22,Notre Dame,Independent,11.55572976869393
23,Minnesota,Big Ten,11.54995259374705
24,Illinois,Big Ten,11.384204042163901
25,Louisville,ACC,11.352225751623434
26,UCF,AAC,11.28170464909424
27,Maryland,Big Ten,9.591190922059159
28,Washington,Pac-12,9.213570329885242
29,Kentucky,SEC,9.150506983789796
30,Wake Forest,ACC,9.092199580555794
31,Iowa St.,Big 12,9.089595933182414
32,Iowa,Big Ten,8.98288841410423
33,Arkansas,SEC,8.93120215379847
34,Florida,SEC,8.513454562717065
35,Cincinnati,AAC,8.359182003870627
36,North Carolina,ACC,7.823724176792068
37,Wash. St.,Pac-12,7.8054985948019064
38,Oregon St.,Pac-12,7.628462387048494
39,Oklahoma St.,Big 12,7.540340073151974
40,Tulane,AAC,7.447225855812828
41,Texas A&M,SEC,7.365914726491778
42,NC State,ACC,7.211395833837968
43,Syracuse,ACC,7.16666609196028
44,Texas Tech,Big 12,7.072588115791359
45,Kansas,Big 12,6.345958677634552
46,Pitt,ACC,5.599422691081756
47,Purdue,Big Ten,5.540972255120626
48,Missouri,SEC,5.0302765867120245
49,SMU,AAC,4.984159644159062
50,East Carolina,AAC,4.871011668117807
51,South Carolina,SEC,4.358273845848713
52,Michigan St.,Big Ten,4.181696553509475
53,Auburn,SEC,4.099069490521228
54,Houston,AAC,2.982644266869736
55,Boise St.,MWC,2.8869151935896906
56,Western Kentucky,C-USA,2.84193606589213
57,App State,Sun Belt,2.798361480846101
58,S. Alabama,Sun Belt,2.6235463727933523
59,Air Force,MWC,2.616900283626927
60,Memphis,AAC,2.3010559705345432
61,UTSA,C-USA,2.1172002012199154
62,Liberty,Independent,2.018351604794408
63,Duke,ACC,1.8179766135893007
64,Troy,Sun Belt,1.4873339581967864
65,West Virginia,Big 12,0.9342707660947012
66,BYU,Independent,0.8985529429365418
67,Coastal Carolina,Sun Belt,0.6138872085676074
68,JMU,Sun Belt,0.36975539760320136
69,Toledo,MAC,0.3171608189075588
70,UAB,C-USA,0.010696964867031042
71,Fresno St.,MWC,-1.1420732210586653
72,Miami-FL,ACC,-1.2551418136986194
73,Marshall,Sun Belt,-1.2857010739074066
74,North Texas,C-USA,-1.8798048725888832
75,Nebraska,Big Ten,-2.295203178650994
76,San Jose St.,MWC,-2.3321100288039114
77,Virginia,ACC,-2.6288745912181906
78,Cal,Pac-12,-2.7581597669372844
79,Arizona St.,Pac-12,-3.1259622578101944
80,Georgia St.,Sun Belt,-3.72377854067083
81,Arizona,Pac-12,-4.414571373684592
82,Stanford,Pac-12,-4.427638460509282
83,Indiana,Big Ten,-4.478987841090721
84,Ga. Southern,Sun Belt,-4.573898531008388
85,Louisiana,Sun Belt,-4.839144447397882
86,Tulsa,AAC,-6.216073154312813
87,Buffalo,MAC,-6.376655614674402
88,Northwestern,Big Ten,-6.41885147821726
89,FAU,C-USA,-6.699131385973271
90,Georgia Tech,ACC,-6.720210357882055
91,Rutgers,Big Ten,-6.828709625576997
92,Army,Independent,-7.184024070227578
93,Virginia Tech,ACC,-7.7804047590370375
94,ODU,Sun Belt,-7.996165858148327
95,Southern Miss,Sun Belt,-8.233927309814115
96,Navy,AAC,-8.29449775097212
97,Ohio,MAC,-8.369754720291093
98,San Diego St.,MWC,-8.377437310923858
99,Vanderbilt,SEC,-8.746407713424418
100,Wyoming,MWC,-9.983618834485965
101,Boston College,ACC,-10.31069035960573
102,Miami-OH,MAC,-10.681548466166035
103,Central Michigan,MAC,-10.88487851453113
104,Texas St.,Sun Belt,-11.504276681276208
105,Kent St.,MAC,-11.537951383345694
106,UNLV,MWC,-11.580239100232463
107,Middle Tennessee,C-USA,-12.032887494059487
108,Arkansas St.,Sun Belt,-12.771848708747788
109,Northern Illinois,MAC,-12.953925413538732
110,Utah St.,MWC,-13.064354276611276
111,Eastern Michigan,MAC,-13.116057590784182
112,Ball St.,MAC,-13.338412617355187
113,USF,AAC,-13.739884681166979
114,Rice,C-USA,-13.751695775962977
115,La. Tech,C-USA,-14.403243595242557
116,Bowling Green,MAC,-14.91829520504154
117,UL-Monroe,Sun Belt,-14.919194716278803
118,Temple,AAC,-15.363884957315648
119,Western Michigan,MAC,-15.755839684254596
120,UTEP,C-USA,-15.924917528716813
121,UConn,Independent,-16.807411961111278
122,Colorado,Pac-12,-17.872264966983018
123,Nevada,MWC,-18.13142304061499
124,Charlotte,C-USA,-20.588723856334507
125,Colorado St.,MWC,-20.759247824747487
126,New Mexico,MWC,-22.385597896614897
127,Akron,MAC,-22.733115392060643
128,New Mexico St.,Independent,-24.400657703955357
129,FIU,C-USA,-24.97204531348514
130,Hawaii,MWC,-25.34190293072704
131,UMass,Independent,-28.685343149076477
