avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,29.886473548859
2,Ohio State,Big Ten,26.353708152450128
3,Oregon,Pac-12,24.95597186792523
4,Georgia,SEC,23.975707430744954
5,Florida St.,ACC,22.407587471297
6,LSU,SEC,21.068300175190274
7,Notre Dame,Independent,20.936462439029224
8,Alabama,SEC,20.66197851291654
9,Penn State,Big Ten,20.323211513337785
10,Texas,Big 12,20.299472576747426
11,Oklahoma,Big 12,19.781041199165703
12,Washington,Pac-12,19.019633819252924
13,Kansas St.,Big 12,18.76826760025266
14,Ole Miss,SEC,16.835331940789647
15,USC,Pac-12,15.365384789950879
16,Texas A&M,SEC,15.112001976245782
17,Tennessee,SEC,15.003224523054401
18,Oregon St.,Pac-12,13.996816695166846
19,UCLA,Pac-12,12.873288413324383
20,Missouri,SEC,12.723961623245366
21,North Carolina,ACC,12.266790280624825
22,Louisville,ACC,12.036073141908933
23,Clemson,ACC,11.484295122073936
24,Miami-FL,ACC,10.999041860564141
25,Duke,ACC,10.507030981107564
26,SMU,AAC,10.030894922299264
27,Utah,Pac-12,9.431796331199727
28,Maryland,Big Ten,8.340737425987868
29,Wisconsin,Big Ten,8.318613977681906
30,Oklahoma St.,Big 12,7.687739080584429
31,TCU,Big 12,7.64955950268846
32,Arizona,Pac-12,7.638797111967212
33,Kansas,Big 12,7.567699463504124
34,Kentucky,SEC,7.140657347796093
35,Auburn,SEC,6.586912383100602
36,Texas Tech,Big 12,6.421105121303171
37,Air Force,MWC,6.12633364774479
38,UCF,Big 12,5.946831086998405
39,Troy,Sun Belt,5.809522659146183
40,Florida,SEC,5.726222885359956
41,Tulane,AAC,5.557660722001176
42,Arkansas,SEC,5.419416430406103
43,Iowa,Big Ten,5.276728664451951
44,JMU,Sun Belt,5.243877984774138
45,Iowa St.,Big 12,5.103306969985074
46,S. Alabama,Sun Belt,4.87127117543727
47,West Virginia,Big 12,3.8004309184140483
48,Fresno St.,MWC,3.3665247772969926
49,Liberty,C-USA,3.2868274298568427
50,Rutgers,Big Ten,3.0151056688506577
51,NC State,ACC,2.984512910890988
52,Wash. St.,Pac-12,2.8249720325508476
53,South Carolina,SEC,2.7262640177038637
54,Nebraska,Big Ten,2.3976008563942472
55,Memphis,AAC,2.3925278355247457
56,Minnesota,Big Ten,2.2996625456507993
57,Miss. St.,SEC,2.2835186412447417
58,Virginia Tech,ACC,1.9851388441629692
59,Toledo,MAC,1.5291134843886418
60,Cal,Pac-12,1.3099741561586788
61,UTSA,AAC,0.7322044930229324
62,BYU,Big 12,0.22623494511003137
63,Boise St.,MWC,0.22032445207809845
64,Illinois,Big Ten,-0.016819459689143564
65,Coastal Carolina,Sun Belt,-0.31656149136949996
66,Colorado,Pac-12,-0.39376640972986227
67,Georgia Tech,ACC,-0.7035240066000048
68,Syracuse,ACC,-0.794858335745394
69,Georgia St.,Sun Belt,-0.9398520039634355
70,Pitt,ACC,-1.2259292867158182
71,Louisiana,Sun Belt,-1.8325816681767464
72,Miami-OH,MAC,-2.149198707827346
73,Cincinnati,Big 12,-2.1516521089079497
74,Arizona St.,Pac-12,-2.230618037278159
75,Ga. Southern,Sun Belt,-2.3136612202559306
76,San Jose St.,MWC,-2.6437910011114387
77,Houston,Big 12,-2.718930440607634
78,Wake Forest,ACC,-2.750457823459147
79,Purdue,Big Ten,-2.9003716877760675
80,Boston College,ACC,-3.117154071344731
81,Ohio,MAC,-3.1302179478761087
82,Western Kentucky,C-USA,-3.2994396296402133
83,Virginia,ACC,-3.3682362666925845
84,Baylor,Big 12,-3.726473146621657
85,Northwestern,Big Ten,-3.8890279056683035
86,Michigan St.,Big Ten,-4.238893905258839
87,Marshall,Sun Belt,-4.260551021675552
88,UNLV,MWC,-4.454129997172113
89,Texas St.,Sun Belt,-5.288876893618451
90,Wyoming,MWC,-5.392189791723558
91,App State,Sun Belt,-5.440687372100327
92,FAU,AAC,-5.949393038031887
93,Jacksonville St.,C-USA,-6.202194419410595
94,Northern Illinois,MAC,-6.820837424711192
95,Indiana,Big Ten,-6.8373388693764605
96,Rice,AAC,-6.840091979147371
97,Utah St.,MWC,-6.922665621077644
98,ODU,Sun Belt,-8.347714534413454
99,New Mexico St.,C-USA,-8.610927491903348
100,Stanford,Pac-12,-8.638877706019487
101,North Texas,AAC,-8.975802985410732
102,Vanderbilt,SEC,-9.155093398610521
103,Bowling Green,MAC,-9.668654832023307
104,UAB,AAC,-10.131182775168448
105,Navy,AAC,-10.22177515340632
106,Buffalo,MAC,-10.590560913607964
107,Colorado St.,MWC,-10.759240084625427
108,USF,AAC,-11.656418897737131
109,Middle Tennessee,C-USA,-11.667298585128991
110,La. Tech,C-USA,-11.787280463744626
111,San Diego St.,MWC,-12.149475169091144
112,East Carolina,AAC,-12.742943705197742
113,Army,Independent,-12.827901063491561
114,Western Michigan,MAC,-12.989002569522267
115,UConn,Independent,-13.908201838160931
116,Arkansas St.,Sun Belt,-14.217253911770452
117,Central Michigan,MAC,-14.735252300408838
118,Eastern Michigan,MAC,-15.333472660167367
119,Tulsa,AAC,-15.710427910726901
120,New Mexico,MWC,-15.849535606165286
121,Charlotte,AAC,-15.861043330175322
122,Sam Houston,C-USA,-15.877044668098895
123,UTEP,C-USA,-16.041177559107226
124,Nevada,MWC,-16.313328594825414
125,Southern Miss,Sun Belt,-16.659322575148508
126,Ball St.,MAC,-17.600765685127463
127,UL-Monroe,Sun Belt,-17.757639807885553
128,FIU,C-USA,-18.826149585394802
129,UMass,Independent,-19.00431210093554
130,Akron,MAC,-20.28819408918794
131,Hawaii,MWC,-20.47561416058409
132,Temple,AAC,-22.062898694483497
133,Kent St.,MAC,-24.031588827792763
