avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,27.12109989798985
2,Ohio State,Big Ten,26.69096547825887
3,Oklahoma,Big 12,23.616561150303212
4,Oregon,Pac-12,23.42289396903035
5,Penn State,Big Ten,22.784424348001384
6,Georgia,SEC,22.725541830315034
7,Washington,Pac-12,22.640299519863294
8,Texas,Big 12,22.316236348188855
9,Florida St.,ACC,21.40197086293777
10,Alabama,SEC,19.942810981511602
11,Notre Dame,Independent,19.316589901590927
12,LSU,SEC,17.340847112318546
13,USC,Pac-12,16.523027722892092
14,North Carolina,ACC,16.272451303324605
15,Tennessee,SEC,15.706150677150537
16,Ole Miss,SEC,15.621654304570463
17,Clemson,ACC,15.437846623118638
18,Texas A&M,SEC,14.822929164391097
19,Oregon St.,Pac-12,14.156102865411968
20,Duke,ACC,13.424794027421386
21,Miami-FL,ACC,13.064194730929438
22,Kansas St.,Big 12,12.969397506778888
23,UCLA,Pac-12,11.23863538768771
24,Utah,Pac-12,10.459411071767358
25,TCU,Big 12,9.817115283479325
26,Maryland,Big Ten,9.75254602636238
27,Louisville,ACC,9.682895156628176
28,Missouri,SEC,9.492934905928541
29,Wisconsin,Big Ten,9.294811058829696
30,Arizona,Pac-12,7.474923148491246
31,Texas Tech,Big 12,7.44919386516337
32,Florida,SEC,7.073044849254959
33,Iowa,Big Ten,6.829677691179931
34,Kentucky,SEC,6.699381925465975
35,Air Force,MWC,6.66045205232821
36,Tulane,AAC,6.344256589957543
37,Arkansas,SEC,5.850682968528356
38,South Carolina,SEC,5.540754116408483
39,UCF,Big 12,5.392427530803114
40,JMU,Sun Belt,5.3541482747945786
41,Kansas,Big 12,5.352548615132531
42,Iowa St.,Big 12,5.142222553092034
43,Troy,Sun Belt,5.053955657101731
44,SMU,AAC,4.905709275227505
45,Auburn,SEC,4.699506988289975
46,West Virginia,Big 12,4.415518795455282
47,Wash. St.,Pac-12,4.296917558429768
48,S. Alabama,Sun Belt,3.548455609699
49,Fresno St.,MWC,3.4281187521812178
50,Syracuse,ACC,3.320149965183479
51,Oklahoma St.,Big 12,3.197004409708184
