avg_rank,school,conf,avg_pts
52,Miss. St.,SEC,2.7716663917472073
53,Rutgers,Big Ten,2.584651230111374
54,Pitt,ACC,2.1168671866693316
55,NC State,ACC,1.9932874154525075
56,Liberty,C-USA,1.2947193378283763
57,Minnesota,Big Ten,1.0122738679770353
58,Cincinnati,Big 12,0.9212944554128303
59,Nebraska,Big Ten,0.6586345238108112
60,Memphis,AAC,0.5155736267578953
61,Illinois,Big Ten,0.5074059647566046
62,Michigan St.,Big Ten,0.2722081458221529
63,Virginia Tech,ACC,0.2159999078133071
64,Georgia St.,Sun Belt,-0.1871491715854328
65,Georgia Tech,ACC,-0.2637582873626079
66,Cal,Pac-12,-0.38594952601838656
67,Toledo,MAC,-0.5412633697407278
68,Purdue,Big Ten,-0.6854053518593163
69,BYU,Big 12,-0.8679404160767805
70,Ohio,MAC,-0.9419865487383428
71,Colorado,Pac-12,-1.0670432654769708
72,Marshall,Sun Belt,-1.1383282517948783
73,UTSA,AAC,-1.5770509352683773
74,Houston,Big 12,-1.5774549795394195
75,Wake Forest,ACC,-1.6224891796523657
76,Coastal Carolina,Sun Belt,-1.918096940482109
77,Boise St.,MWC,-1.951297123191531
78,Western Kentucky,C-USA,-2.2409087680302773
79,Wyoming,MWC,-2.3910575701360046
80,Baylor,Big 12,-2.6030002330492286
81,Miami-OH,MAC,-2.609241646969035
82,App State,Sun Belt,-3.2662221588832083
83,Louisiana,Sun Belt,-3.2707525067323964
84,Ga. Southern,Sun Belt,-3.549446119920793
85,FAU,AAC,-3.803625752997131
86,UNLV,MWC,-4.718199339961313
87,Texas St.,Sun Belt,-4.728133809402518
88,Northwestern,Big Ten,-4.900359591405386
89,Utah St.,MWC,-4.937018454965512
90,Boston College,ACC,-5.149568005029142
91,Northern Illinois,MAC,-5.8750949319978
92,Arizona St.,Pac-12,-6.153905780897799
93,Virginia,ACC,-6.295156011067431
94,San Jose St.,MWC,-6.414518027040469
95,Tulsa,AAC,-7.142196794999303
96,Indiana,Big Ten,-7.738282712335466
97,Army,Independent,-7.84795015083224
98,Stanford,Pac-12,-8.10035521713165
99,Vanderbilt,SEC,-8.134100334757735
100,UAB,AAC,-8.920952848935038
101,Jacksonville St.,C-USA,-9.199469941303697
102,San Diego St.,MWC,-9.802199192419073
103,North Texas,AAC,-9.968398355089187
104,ODU,Sun Belt,-10.098994479609392
105,Rice,AAC,-10.161684684803555
106,Navy,AAC,-10.843034900126517
107,East Carolina,AAC,-10.921344409358563
108,New Mexico St.,C-USA,-11.176258837969293
109,Bowling Green,MAC,-11.22573442684624
110,USF,AAC,-11.561370532926132
111,Buffalo,MAC,-11.651167203976044
112,Colorado St.,MWC,-12.012425898597405
113,La. Tech,C-USA,-12.483914157885103
114,Central Michigan,MAC,-13.05186441254019
115,Middle Tennessee,C-USA,-13.084279094649363
116,UConn,Independent,-14.193691069481902
117,Southern Miss,Sun Belt,-14.44532582773993
118,Eastern Michigan,MAC,-14.817045856866818
119,Western Michigan,MAC,-15.248694675440975
120,UTEP,C-USA,-15.434239204983504
121,Charlotte,AAC,-15.720525493123615
122,Hawaii,MWC,-16.03521920141225
123,Sam Houston,C-USA,-16.076352378689226
124,UL-Monroe,Sun Belt,-16.167903616776574
125,Arkansas St.,Sun Belt,-16.57605175170892
126,Temple,AAC,-18.31447288302265
127,Nevada,MWC,-18.38734962339606
128,New Mexico,MWC,-18.421809404714427
129,Akron,MAC,-18.831123021512212
130,Ball St.,MAC,-19.123185926886624
131,FIU,C-USA,-19.187848584477432
132,UMass,Independent,-21.425565627042534
133,Kent St.,MAC,-22.486967673378118
