avg_rank,school,conf,avg_pts
1,Michigan,Big Ten,30.017892952063665
2,Ohio State,Big Ten,26.652058692065033
3,Oregon,Pac-12,26.467700610311482
4,Georgia,SEC,25.931971769673858
5,Penn State,Big Ten,22.210684267033237
6,Alabama,SEC,22.07499998926688
7,Florida St.,ACC,21.42765069839661
8,Oklahoma,Big 12,21.177888690409894
9,Texas,Big 12,19.94647185081079
10,LSU,SEC,19.87250518854536
11,Notre Dame,Independent,19.4489484579633
12,Washington,Pac-12,19.135308510168443
13,Kansas St.,Big 12,18.63802919402979
14,Oregon St.,Pac-12,15.523039675483059
15,Texas A&M,SEC,15.274720430148976
16,Missouri,SEC,15.044314789521303
17,Ole Miss,SEC,14.653995745036884
18,Tennessee,SEC,14.434509277408338
19,USC,Pac-12,14.121887736676568
20,North Carolina,ACC,12.871761234337391
21,Louisville,ACC,12.763033353951949
22,Clemson,ACC,12.38824488797098
23,Utah,Pac-12,12.000736202341223
24,SMU,AAC,10.821393881897619
25,Miami-FL,ACC,10.314150274176685
26,Auburn,SEC,9.655558346732766
27,Arizona,Pac-12,8.984786338549867
28,UCF,Big 12,8.889946409378116
29,UCLA,Pac-12,8.484807236682233
30,Duke,ACC,8.472835781112442
31,Troy,Sun Belt,8.136014869157016
32,JMU,Sun Belt,7.586402251650987
33,Kansas,Big 12,7.454785212797753
34,Liberty,C-USA,6.91332715799415
35,TCU,Big 12,6.782789045446098
36,Kentucky,SEC,6.689925270473408
37,Maryland,Big Ten,6.474414012704704
38,Texas Tech,Big 12,6.401722011970399
39,Iowa St.,Big 12,6.232942468701625
40,Iowa,Big Ten,6.028678876786555
41,NC State,ACC,5.717972450438681
42,Oklahoma St.,Big 12,5.408902658434139
43,South Carolina,SEC,4.776297014568472
44,Florida,SEC,4.759343260762102
45,Wisconsin,Big Ten,4.474521855993286
46,West Virginia,Big 12,3.96264381096265
47,Toledo,MAC,3.661344835642681
48,Arkansas,SEC,2.9702175051843116
49,S. Alabama,Sun Belt,2.6610283816373697
50,Tulane,AAC,2.433622293756991
51,Virginia Tech,ACC,2.1946878787864548
52,UTSA,AAC,2.173768321043855
53,Rutgers,Big Ten,1.955080389668069
54,Fresno St.,MWC,1.0253411574878322
55,Boise St.,MWC,0.9757585500112416
56,Georgia Tech,ACC,0.9416169357052253
57,Nebraska,Big Ten,0.9344902435563028
58,Wash. St.,Pac-12,0.5281555036198565
59,Cal,Pac-12,0.38228467207938627
60,Memphis,AAC,0.3079109254244017
61,Air Force,MWC,0.18165760678851153
62,App State,Sun Belt,-0.1457076080200375
63,UNLV,MWC,-0.328864038177046
64,San Jose St.,MWC,-0.4287692385826956
65,Colorado,Pac-12,-0.45923495556306904
66,Syracuse,ACC,-0.5345631127898157
67,Illinois,Big Ten,-0.6296267652276738
68,Minnesota,Big Ten,-0.7524701377504401
69,Coastal Carolina,Sun Belt,-0.8314232223023891
70,Northwestern,Big Ten,-1.09337508586134
71,Cincinnati,Big 12,-1.2612386333445702
72,Purdue,Big Ten,-1.3672782537954307
73,Miami-OH,MAC,-1.430326121224284
74,Miss. St.,SEC,-2.189513394349923
75,Pitt,ACC,-2.557308127402113
76,Ohio,MAC,-2.838681454841933
77,Wake Forest,ACC,-3.356038817677326
78,Texas St.,Sun Belt,-3.367858025111429
79,Western Kentucky,C-USA,-3.451240045181801
80,Houston,Big 12,-3.737570457745046
81,Arizona St.,Pac-12,-3.821610565097964
82,Baylor,Big 12,-3.888590705091871
83,Boston College,ACC,-4.265923620310663
84,Virginia,ACC,-4.81659933997658
85,BYU,Big 12,-4.824911669621209
86,Jacksonville St.,C-USA,-5.107826819812474
87,Ga. Southern,Sun Belt,-5.122817402022896
88,New Mexico St.,C-USA,-5.322321763169453
89,Michigan St.,Big Ten,-5.533494880236092
90,Marshall,Sun Belt,-5.696583801737267
91,Indiana,Big Ten,-5.753714888915116
92,Utah St.,MWC,-6.46752499773044
93,Louisiana,Sun Belt,-6.806091870715881
94,Georgia St.,Sun Belt,-6.904693217202484
95,Wyoming,MWC,-6.976860641672653
96,FAU,AAC,-7.720861192608257
97,Bowling Green,MAC,-7.837705042704492
98,Northern Illinois,MAC,-8.189503268538672
99,Rice,AAC,-8.675259805418188
100,Middle Tennessee,C-USA,-8.962451349581947
101,Army,Independent,-9.306289603682947
102,Stanford,Pac-12,-9.343232281287733
103,ODU,Sun Belt,-9.51528511563138
104,North Texas,AAC,-10.12980887055387
105,East Carolina,AAC,-10.153788838175231
106,Arkansas St.,Sun Belt,-10.789170024315444
107,Vanderbilt,SEC,-10.91553483580865
108,Colorado St.,MWC,-11.073304100824144
109,Western Michigan,MAC,-11.601733821256055
110,Buffalo,MAC,-11.672118631806516
111,USF,AAC,-11.810707341655457
112,Navy,AAC,-12.063048951781118
113,San Diego St.,MWC,-12.427341749938194
114,UAB,AAC,-12.72299790145165
115,La. Tech,C-USA,-12.764910173032348
116,Southern Miss,Sun Belt,-12.860677802767643
117,Sam Houston,C-USA,-14.046343079142403
118,Central Michigan,MAC,-14.39458046273643
119,Tulsa,AAC,-14.874479507440391
120,UTEP,C-USA,-15.156888588415097
121,Charlotte,AAC,-15.372605929156679
122,Ball St.,MAC,-15.570361165480449
123,Hawaii,MWC,-15.77179921255812
124,Eastern Michigan,MAC,-16.236372816180484
125,UConn,Independent,-17.27224633474478
126,UMass,Independent,-17.35123544440712
127,UL-Monroe,Sun Belt,-17.960074275260325
128,Nevada,MWC,-18.238041770818
129,New Mexico,MWC,-18.641771982143545
130,Temple,AAC,-18.681754023947896
131,FIU,C-USA,-19.67724957968242
132,Akron,MAC,-19.8201600965849
133,Kent St.,MAC,-25.607131251598673
