avg_rank,school,conf,avg_pts
1,Georgia,SEC,29.46721120997597
2,Ohio State,Big Ten,29.221713332461082
3,Alabama,SEC,26.63959661556838
4,Michigan,Big Ten,25.39215606399851
5,LSU,SEC,22.525580592535402
6,Texas,Big 12,21.243544772615397
7,Clemson,ACC,20.608566624219254
8,Penn State,Big Ten,19.251106857462165
9,Tennessee,SEC,18.95953523276002
10,USC,Pac-12,18.89062237355479
11,Notre Dame,Independent,18.529008222879316
12,Florida St.,ACC,17.97509906392838
13,Utah,Pac-12,16.93361347913398
14,Oregon,Pac-12,15.967069791094199
15,Ole Miss,SEC,15.045789357607184
16,Oklahoma,Big 12,14.462253231155616
17,Washington,Pac-12,14.340769663590875
18,Texas A&M,SEC,13.315456920201777
19,Wisconsin,Big Ten,13.291355505161489
20,Kansas St.,Big 12,12.116172961092289
21,TCU,Big 12,12.03780384567259
22,Florida,SEC,11.097034125539722
23,Kentucky,SEC,11.045218715296201
24,Miss. St.,SEC,10.499236937855974
25,Oregon St.,Pac-12,10.33004768404066
26,Iowa,Big Ten,10.23145628854834
27,Auburn,SEC,9.95637044028493
28,UCLA,Pac-12,9.581525497646707
29,Texas Tech,Big 12,9.44178540866705
30,Arkansas,SEC,9.278429308151592
31,UCF,Big 12,9.234315859588026
32,North Carolina,ACC,8.88339312981034
33,Minnesota,Big Ten,8.870696181730482
34,Missouri,SEC,8.629269860437732
35,Baylor,Big 12,8.163490687341847
36,Tulane,AAC,7.744227941228156
37,South Carolina,SEC,7.382337747109676
38,Pitt,ACC,7.201922195231838
39,Louisville,ACC,7.1519905446895535
40,Illinois,Big Ten,7.133077237794514
41,Maryland,Big Ten,6.999543099783229
42,Miami-FL,ACC,6.260560798253994
43,NC State,ACC,6.2005492617421
44,Oklahoma St.,Big 12,6.02794091725752
45,Duke,ACC,5.418810946376744
46,Wake Forest,ACC,4.535802264865118
47,Iowa St.,Big 12,4.392598941697891
48,UTSA,AAC,4.1333920035188765
49,Syracuse,ACC,4.073935012498659
50,Cincinnati,Big 12,3.9145346267890027
51,Michigan St.,Big Ten,3.873020183761844
