avg_rank,school,conf,avg_pts
1,Georgia,SEC,29.98775572311986
2,Ohio State,Big Ten,29.32532668579388
3,Alabama,SEC,29.022067383961925
4,Michigan,Big Ten,26.183863672145332
5,Florida St.,ACC,21.57681104806851
6,Tennessee,SEC,21.5139265601419
7,Texas,Big 12,20.882137990082807
8,USC,Pac-12,20.74280790472633
9,Penn State,Big Ten,20.607236698820866
10,Notre Dame,Independent,20.488113609123445
11,Oklahoma,Big 12,19.770085942415434
12,LSU,SEC,19.305384451044716
13,Oregon,Pac-12,19.172390631305845
14,Washington,Pac-12,17.845483853760516
15,Ole Miss,SEC,17.683034274093956
16,Utah,Pac-12,16.8034514799553
17,Clemson,ACC,16.637692211794647
18,Texas A&M,SEC,14.91267274152486
19,Kansas St.,Big 12,14.32448839253128
20,Wisconsin,Big Ten,13.224450054856177
21,UCF,Big 12,13.098840638885376
22,Oregon St.,Pac-12,12.68248069887939
23,Auburn,SEC,12.54118393424523
24,Kentucky,SEC,11.96013864226316
25,Miss. St.,SEC,11.659894144726346
26,North Carolina,ACC,10.501100810539302
27,Arkansas,SEC,9.946496295272771
28,UCLA,Pac-12,9.92256028328356
29,Florida,SEC,9.600602584573913
30,Duke,ACC,9.371307343445396
31,Tulane,AAC,9.314780711117182
32,Miami-FL,ACC,9.196365269935582
33,Missouri,SEC,9.130223536241177
34,Iowa,Big Ten,8.982620819661202
35,Pitt,ACC,8.71358340404602
36,TCU,Big 12,8.606752612846797
37,Maryland,Big Ten,8.223204731619498
38,Texas Tech,Big 12,7.545247277692707
39,Minnesota,Big Ten,7.522580461079756
40,Cincinnati,Big 12,7.174400621424437
41,Syracuse,ACC,6.805944849973973
42,Louisville,ACC,6.435001724550425
43,Illinois,Big Ten,5.992053841908608
44,NC State,ACC,5.646392351288358
45,SMU,AAC,5.187566429088146
46,South Carolina,SEC,5.14403006559701
47,Wash. St.,Pac-12,5.0306407705220835
48,Cal,Pac-12,4.616015809472444
49,Iowa St.,Big 12,4.610960233554485
50,Memphis,AAC,4.603258679295945
51,Wake Forest,ACC,4.499005182911673
52,Oklahoma St.,Big 12,4.479511968297856
53,Michigan St.,Big Ten,4.435691396761831
54,UTSA,AAC,4.414532914326138
55,Baylor,Big 12,3.7704733140708413
56,Kansas,Big 12,3.5153819972278284
57,Nebraska,Big Ten,2.7916537200910234
58,Houston,Big 12,2.6811771693258346
59,Fresno St.,MWC,0.855736217102696
60,West Virginia,Big 12,0.7987513032974228
61,BYU,Big 12,0.7876258136790056
62,Purdue,Big Ten,0.7037896372176277
63,Arizona,Pac-12,0.4782114691429957
64,Boise St.,MWC,0.18122664197601135
65,Western Kentucky,C-USA,-0.4871154464314971
66,Air Force,MWC,-0.6224958261583594
67,Toledo,MAC,-0.7153664535136409
68,Troy,Sun Belt,-0.9358396756684222
69,JMU,Sun Belt,-1.2011477470279663
70,App State,Sun Belt,-2.0362781188438994
71,Virginia Tech,ACC,-2.4362207129100253
72,S. Alabama,Sun Belt,-2.545044244326008
73,FAU,AAC,-2.570804761078673
74,Marshall,Sun Belt,-2.697834332556678
75,Georgia Tech,ACC,-2.8392568128284714
76,Coastal Carolina,Sun Belt,-2.959075242160227
77,Rutgers,Big Ten,-3.500171842498041
78,Indiana,Big Ten,-3.8849029939300674
79,Arizona St.,Pac-12,-4.113617138162905
80,Stanford,Pac-12,-5.190854093394994
81,Colorado,Pac-12,-5.202813196818593
82,Louisiana,Sun Belt,-5.467684238821231
83,Ga. Southern,Sun Belt,-5.852989366519896
84,UAB,AAC,-6.122633588359855
85,Vanderbilt,SEC,-6.127799482072171
86,Ohio,MAC,-6.290560361610517
87,East Carolina,AAC,-6.343577577898255
88,Wyoming,MWC,-6.772807951654712
89,Tulsa,AAC,-6.775153685002127
90,San Diego St.,MWC,-6.898097872703757
91,Liberty,C-USA,-6.928063298915173
92,Boston College,ACC,-7.330638908377953
93,Virginia,ACC,-7.666468200659248
94,Georgia St.,Sun Belt,-7.912074947079236
95,Army,Independent,-7.989378146147216
96,San Jose St.,MWC,-8.22403304577896
97,Buffalo,MAC,-8.291451558516446
98,Northwestern,Big Ten,-8.438140185201451
99,Southern Miss,Sun Belt,-9.204449703510788
100,Navy,AAC,-10.153781723584734
101,Northern Illinois,MAC,-10.378091910421354
102,Texas St.,Sun Belt,-10.770579025877828
103,Temple,AAC,-10.777281224688844
104,Utah St.,MWC,-11.137514725531789
105,North Texas,AAC,-11.498866634081113
106,UNLV,MWC,-11.832965328744388
107,UTEP,C-USA,-11.866781065095026
108,Jacksonville St.,C-USA,-12.025417543927475
109,Central Michigan,MAC,-12.608760831173178
110,Miami-OH,MAC,-12.67619865296693
111,USF,AAC,-12.777695697911632
112,Rice,AAC,-12.862553436883601
113,Middle Tennessee,C-USA,-13.007235243289328
114,Western Michigan,MAC,-13.300828770223996
115,Eastern Michigan,MAC,-13.443382400784325
116,Ball St.,MAC,-13.799570621899626
117,La. Tech,C-USA,-14.530280770124364
118,Sam Houston,C-USA,-14.600218352662695
119,UConn,Independent,-14.762508908865478
120,New Mexico St.,C-USA,-15.412964120548159
121,Hawaii,MWC,-15.920541596521112
122,UL-Monroe,Sun Belt,-16.17565249786242
123,Akron,MAC,-16.25419161650336
124,Colorado St.,MWC,-16.290545842280494
125,Bowling Green,MAC,-16.932881529635633
126,ODU,Sun Belt,-16.946086035968673
127,Nevada,MWC,-17.237802979120897
128,Charlotte,AAC,-17.50225450005495
129,Arkansas St.,Sun Belt,-19.466998609195787
130,Kent St.,MAC,-19.566701409124473
131,FIU,C-USA,-21.166642238498344
132,UMass,Independent,-21.958294298982423
133,New Mexico,MWC,-23.234602064888307
